S? Báo Danh,Toán,Ng? Van,Ngo?i Ng?,Ghi Chú
LC1200001,4.6,5.0,4.0,N1
LC1200002,4.2,3.75,6.6,N1
LC1200003,4.4,3.25,2.6,N1
LC1200004,5.2,4.0,3.2,N1
LC1200005,5.8,5.5,5.2,N1
LC1200007,4.0,5.0,3.0,N1
LC1200008,4.8,4.5,3.8,N1
LC1200009,2.6,4.0,2.4,N1
LC1200010,6.8,6.25,4.8,N1
LC1200011,6.0,6.25,4.4,N1
LC1200012,3.6,2.25,3.8,N1
LC1200013,4.0,6.25,4.4,N1
LC1200014,3.4,4.25,4.4,N1
LC1200015,4.8,4.75,3.8,N1
LC1200016,5.8,2.0,3.6,N1
LC1200018,5.6,5.0,2.8,N1
LC1200019,5.8,5.5,4.8,N1
LC1200020,2.2,3.25,1.6,N1
LC1200023,4.0,3.0,3.8,N1
LC1200024,4.2,6.0,3.8,N1
LC1200025,3.8,3.25,3.8,N1
LC1200026,6.6,5.75,4.6,N1
LC1200027,3.6,2.5,3.0,N1
LC1200029,7.2,5.5,5.8,N1
LC1200030,5.8,4.25,5.0,N1
LC1200031,7.2,5.25,4.0,N1
LC1200033,4.0,6.25,4.2,N1
LC1200035,5.6,6.0,4.6,N1
LC1200036,6.2,5.5,4.4,N1
LC1200037,6.4,6.0,4.2,N1
LC1200038,5.2,4.0,5.2,N1
LC1200040,6.6,5.25,4.2,N1
LC1200043,4.8,4.0,3.8,N1
LC1200044,6.2,5.0,4.0,N1
LC1200045,5.4,3.5,5.2,N1
LC1200046,4.8,5.5,4.0,N1
LC1200047,3.8,4.25,4.0,N1
LC1200048,5.2,6.0,3.6,N1
LC1200049,6.8,3.25,3.0,N1
LC1200050,3.2,4.0,3.6,N1
LC1200051,6.0,5.25,5.4,N1
LC1200052,5.6,5.75,5.0,N1
LC1200053,3.0,3.25,3.6,N1
LC1200054,7.0,6.5,6.0,N1
LC1200055,4.4,2.5,4.6,N1
LC1200056,3.4,4.75,2.0,N1
LC1200058,5.6,3.25,3.8,N1
LC1200060,6.2,4.75,4.8,N1
LC1200061,5.2,5.25,3.8,N1
LC1200062,3.8,4.75,3.6,N1
LC1200063,4.2,4.75,3.6,N1
LC1200064,3.4,3.25,2.8,N1
LC1200065,6.0,5.25,3.8,N1
LC1200066,4.2,2.75,2.8,N1
LC1200067,7.2,4.25,3.4,N1
LC1200068,5.6,5.5,5.0,N1
LC1200069,4.4,4.25,3.8,N1
LC1200070,6.2,5.5,3.2,N1
LC1200071,5.6,3.5,3.8,N1
LC1200072,5.6,5.0,3.6,N1
LC1200073,3.8,2.5,2.8,N1
LC1200074,6.6,4.25,7.6,N1
LC1200075,4.6,4.25,4.2,N1
LC1200076,4.4,4.0,4.2,N1
LC1200077,2.8,4.5,4.2,N1
LC1200079,5.8,4.5,4.0,N1
LC1200080,4.4,5.25,3.6,N1
LC1200081,7.4,4.75,5.6,N1
LC1200082,5.4,6.0,3.4,N1
LC1200083,7.6,7.5,6.2,N1
LC1200084,6.6,5.5,5.2,N1
LC1200085,3.6,1.5,3.6,N1
LC1200086,6.6,5.0,5.0,N1
LC1200087,7.0,4.75,5.8,N1
LC1200088,6.4,4.75,2.8,N1
LC1200089,6.0,6.0,6.2,N1
LC1200090,8.4,4.25,5.0,N1
LC1200091,6.0,5.75,3.8,N1
LC1200092,6.8,6.5,3.6,N1
LC1200093,5.8,6.0,4.6,N1
LC1200094,6.2,4.75,5.2,N1
LC1200095,4.2,4.75,4.8,N1
LC1200096,7.6,4.25,4.4,N1
LC1200097,4.2,4.75,4.4,N1
LC1200099,6.0,6.0,4.0,N1
LC1200100,3.6,4.25,3.2,N1
LC1200101,5.6,6.0,4.2,N1
LC1200102,6.0,4.5,5.0,N1
LC1200104,6.2,6.0,3.8,N1
LC1200105,7.0,5.0,5.4,N1
LC1200106,4.8,3.75,3.8,N1
LC1200107,5.2,3.75,4.2,N1
LC1200108,8.0,4.25,2.8,N1
LC1200109,4.8,5.75,3.4,N1
LC1200110,4.8,3.25,3.4,N1
LC1200111,3.2,3.5,3.0,N1
LC1200112,4.6,3.25,2.8,N1
LC1200113,5.0,2.75,4.8,N1
LC1200114,4.4,3.75,3.6,N1
LC1200115,7.6,6.25,3.8,N1
