S? Báo Danh,Toán,Ng? Van,Ngo?i Ng?,Ghi Chú
LC1200001,4.4,7.0,3.2,N1
LC1200002,4.6,5.5,3.4,N1
LC1200003,5.6,5.25,3.8,N1
LC1200004,7.2,4.25,3.4,N1
LC1200005,7.0,6.25,3.2,N1
LC1200007,6.0,4.75,6.2,N1
LC1200008,3.2,3.75,3.2,N1
LC1200009,5.6,6.25,4.0,N1
LC1200010,5.0,5.0,4.6,N1
LC1200011,4.6,3.25,3.0,N1
LC1200012,7.0,4.75,5.8,N1
LC1200013,3.6,5.0,5.2,N1
LC1200014,7.6,4.25,4.4,N1
LC1200015,2.6,4.25,3.2,N1
LC1200016,6.2,4.25,3.8,N1
LC1200018,6.2,4.75,4.8,N1
LC1200019,3.0,4.25,3.6,N1
LC1200020,7.6,5.25,3.8,N1
LC1200023,6.2,6.25,3.6,N1
LC1200024,4.6,5.5,4.0,N1
LC1200025,4.8,6.75,4.8,N1
LC1200026,4.0,4.25,3.4,N1
LC1200027,6.8,5.5,5.8,N1
LC1200029,8.2,6.25,7.0,N1
LC1200030,4.6,5.25,4.0,N1
LC1200031,4.8,3.5,3.8,N1
LC1200033,6.8,5.5,3.8,N1
LC1200035,6.0,6.75,5.6,N1
LC1200036,5.4,5.0,4.6,N1
LC1200037,4.0,5.25,4.0,N1
LC1200038,4.8,3.75,4.0,N1
LC1200040,4.4,2.5,4.6,N1
LC1200043,6.4,7.0,5.8,N1
LC1200044,3.6,2.5,3.0,N1
LC1200045,5.6,4.25,4.2,N1
LC1200046,2.8,3.25,3.2,N1
LC1200047,5.8,6.0,4.0,N1
LC1200048,3.4,3.25,3.2,N1
LC1200049,5.2,3.75,4.4,N1
LC1200050,5.2,6.25,4.8,N1
LC1200051,4.6,4.5,2.8,N1
LC1200052,4.6,5.25,3.4,N1
LC1200053,2.8,4.5,3.0,N1
LC1200054,6.8,4.75,5.0,N1
LC1200055,5.0,3.5,4.0,N1
LC1200056,5.6,6.75,4.0,N1
LC1200058,3.6,4.0,2.6,N1
LC1200060,4.4,4.75,5.4,N1
LC1200061,3.8,5.5,4.0,N1
LC1200062,2.8,2.5,3.4,N1
LC1200063,6.0,5.25,3.4,N1
LC1200064,6.2,6.5,4.8,N1
LC1200065,6.4,5.5,4.4,N1
LC1200066,5.2,5.25,5.2,N1
LC1200067,4.0,3.75,4.0,N1
LC1200068,6.2,7.0,5.2,N1
LC1200069,1.8,2.0,2.8,N1
LC1200070,5.8,7.0,2.6,N1
LC1200071,4.6,7.25,5.0,N1
LC1200072,5.4,5.0,4.0,N1
LC1200073,3.8,4.25,3.2,N1
LC1200074,5.6,5.0,2.8,N1
LC1200075,4.2,5.25,3.6,N1
LC1200076,3.2,2.25,3.2,N1
LC1200077,6.2,6.25,5.2,N1
LC1200079,7.0,5.25,5.0,N1
LC1200080,5.0,3.25,4.2,N1
LC1200081,4.0,5.5,4.6,N1
LC1200082,5.4,8.0,7.8,N1
LC1200083,5.4,4.0,2.2,N1
LC1200084,4.8,5.25,3.4,N1
LC1200085,4.4,4.0,2.4,N1
LC1200086,4.4,5.25,2.8,N1
LC1200087,5.2,3.5,5.2,N1
LC1200088,6.2,6.0,5.4,N1
LC1200089,6.8,4.25,6.6,N1
LC1200090,4.8,4.25,3.0,N1
LC1200091,5.0,6.0,4.2,N1
LC1200092,5.2,4.25,3.2,N1
LC1200093,4.2,4.75,3.0,N1
LC1200094,3.2,4.0,3.6,N1
LC1200095,6.2,5.0,4.6,N1
LC1200096,3.2,3.5,3.4,N1
LC1200097,6.0,6.5,4.6,N1
LC1200099,6.0,5.5,5.4,N1
LC1200100,5.0,3.75,3.8,N1
LC1200101,7.0,5.0,5.4,N1
LC1200102,3.4,5.25,3.4,N1
LC1200104,5.0,6.75,4.6,N1
LC1200105,4.0,6.25,5.6,N1
LC1200106,4.6,4.25,2.6,N1
LC1200107,6.0,4.25,2.0,N1
LC1200108,4.0,3.5,3.4,N1
LC1200109,5.2,3.0,2.8,N1
LC1200110,3.4,4.0,3.6,N1
LC1200111,6.0,6.0,5.6,N1
LC1200112,3.6,3.0,2.8,N1
LC1200113,4.4,3.0,4.6,N1
LC1200114,4.8,4.75,3.8,N1
LC1200115,4.2,4.0,3.6,N1
